vin,craigslist_id,used_cars_id,year,manufacturer_cr,manufacturer_uc,model_cr,model_uc,price_cr,price_uc,mileage_cr,mileage_uc,warnings,warning_details,label
,7310325700,269563494,,Ram,Nissan,"2500 Slt 4X4 Mega Cab 6'4"" Box",Rogue Sport,52999,22472.0,58474.0,575.0,,,0
,7316855090,278287850,,Honda,Nissan,Insight,Rogue,0,20000.0,28976.0,38005.0,,,0
,7315265822,280408510,,Honda,Volkswagen,Accord,Tiguan,2500,29725.0,13334.0,3450.0,,,0
,7302853106,277143578,,Gmc,Gmc,Lifted Sierra Deisel Duramax,Acadia,71999,38816.0,24286.0,0.0,,,0
,7311997809,279623195,,Bmw,Nissan,5 Series,Versa,31985,15023.0,24974.0,5.0,,,0
3TMCZ5AN7KM264617,7309886332,277934764,2019.0,Toyota,Toyota,Tacoma,Tacoma,37985,42900.0,22457.0,20675.0,0,,1
1FT7W2BT4KED64234,7315347455,278669269,2019.0,Ford,Ford,F-250,F-250 Super Duty,63995,67995.0,27903.0,27903.0,0,,1
JTDBR32E652057355,7313818913,278727623,2005.0,Toyota,Toyota,Corolla,Corolla,4900,4900.0,126626.0,126626.0,0,,1
,7310045876,279180499,,Buick,Subaru,Lacrosse Cx,Wrx,6400,25695.0,95595.0,33227.0,,,0
1C4HJWDG8GL273108,7306922574,278058577,2016.0,Jeep,Jeep,Wrangler,Wrangler Unlimited,0,35995.0,50083.0,50083.0,0,,1
,7316265307,278368988,,Ram,Ram,1500 Sport,1500,0,31799.0,54317.0,9.0,,,0
,7312003779,248189079,,Mercedes-Benz,Buick,C-Class,Enclave,21985,41564.0,71298.0,10.0,,,0
1GC4YVEY1LF321388,7314318165,280790152,2020.0,Chevrolet,Chevrolet,Silverado,Silverado 3500Hd,79981,76617.0,10384.0,,0,,1
,7309158413,281298318,,Kia,Honda,Forte,Pilot,0,4999.0,,174759.0,,,0
,7312975916,279108151,,Rover,Toyota,,Corolla Hybrid,0,25550.0,78451.0,0.0,,,0
,7315007162,280144938,,Nissan,Chevrolet,Altima,Blazer,9800,28598.0,94593.0,16537.0,,,0
,7316719557,280254854,,Toyota,Chevrolet,Highlander Awd 4Dr V6 Xle (Natl),Equinox,19495,32380.0,109029.0,4.0,,,0
,7303312283,276729827,,Ford,Toyota,F-150,Tacoma,11795,33685.0,159928.0,33369.0,,,0
,7315334892,270263141,,Kia,Gmc,Sorento,Acadia,25999,36097.0,43252.0,,,,0
,7314809562,275788409,,Volkswagen,Ford,Jetta,F-150,5999,44411.0,98225.0,15.0,,,0
,7316835550,279945336,,Mini,Mercedes-Benz,,Sl-Class,15000,15352.0,180643.0,74734.0,,,0
,7315362989,281806827,,Toyota,Chevrolet,4Runner Sr5 4X4,Silverado 1500,7500,41750.0,250000.0,,,,0
,7302000016,275395220,,Volvo,Nissan,S60 T8 R-Design Sedan 4D,Versa,38590,11988.0,14054.0,42589.0,,,0
,7313911974,281409850,,Ford,Ford,F-150,E-Series,32990,16998.0,28517.0,34801.0,,,0
,7312778649,279603065,,Tesla,Ford,Model S,Mustang Shelby Gt500,36995,37000.0,62327.0,40865.0,,,0
,7315544096,240329182,,Hyundai,Aston Martin,Santa Fe,Db11,6999,229990.0,145631.0,11.0,,,0
,7310912043,245922970,,Buick,Mazda,Encore,Mazda6,12897,27320.0,83501.0,1.0,,,0
,7315257648,277673753,,Ford,Jeep,Edge,Grand Cherokee,34699,15000.0,20152.0,128294.0,,,0
1FDEF36R89EB26047,7313071901,265584794,2009.0,Ford,Ford,F-350Sd Xl,F-350 Super Duty Chassis,15755,15755.0,163397.0,163397.0,0,,1
,7313012187,279410265,,Buick,Ram,Enclave,2500,19798,58545.0,102572.0,2.0,,,0
5N1AA0NE8BN618917,7302798121,281046098,2011.0,Nissan,Nissan,Armada,Armada,14995,13821.0,117000.0,116910.0,0,,1
,7316287495,275463238,,Honda,Buick,Fit Hatchback,Lucerne,4500,4995.0,217112.0,113193.0,,,0
,7311293619,281263631,,Jeep,Toyota,Renegade,Camry Hybrid,0,29644.0,93195.0,5.0,,,0
,7316826574,277107973,,Honda,Chevrolet,Crv Ex Awd,Trax,14995,20250.0,90184.0,2.0,,,0
,7316481818,277132079,,Chevrolet,Dodge,Silverado 1500,Challenger,20000,32590.0,148144.0,195.0,,,0
,7309569304,281677729,,Chevrolet,Ford,Impala Lt Fwd Gas Auto,F-150,10999,54030.0,68638.0,10.0,,,0
,7309798956,279100839,,Kia,Chevrolet,Soul,Equinox,7795,21987.0,114695.0,14489.0,,,0
3FADP4BJ5BM159466,7313954329,279904326,2011.0,Ford,Ford,Fiesta,Fiesta,5480,6280.0,98503.0,98503.0,0,,1
,7313283180,281436313,,Honda,Chevrolet,Civic,Equinox,6895,18998.0,126342.0,34978.0,,,0
JTDBF30K530128393,7316834085,274878711,2003.0,Toyota,Toyota,Camry,Camry,6998,6998.0,164342.0,164342.0,0,,1
,7316418866,266935610,,Gmc,Ford,Sierra 1500,Transit Connect,32000,26572.0,65405.0,5.0,,,0
,7314995521,277130370,,Honda,Mazda,Civic,Cx-5,17999,20900.0,76456.0,23989.0,,,0
,7310857856,281582311,,Ford,Hyundai,F-150,Tucson,52750,8100.0,44654.0,118289.0,,,0
,7310096486,279423389,,Bmw,Nissan,328,Frontier,12500,29435.0,86956.0,8.0,,,0
,7309860093,248801087,,Ford,Nissan,Edge Limited,Maxima,11500,32595.0,119874.0,501.0,,,0
,7315039144,281519612,,Ford,Subaru,Mustang,Outback,16500,28500.0,74841.0,13162.0,,,0
,7309295940,279204380,,Gmc,Ford,Sierra 1500,Fusion,0,25877.0,15477.0,9.0,,,0
,7310288525,281741204,,Lexus,Toyota,Rx350 Awd,Highlander,15500,42898.0,113000.0,,,,0
2B3LA43G76H301915,7314386683,259894263,2006.0,Dodge,Dodge,Charger,Charger,2999,2999.0,115000.0,115000.0,0,,1
,7309841457,278372457,,Mercedes-Benz,Mazda,Glc 300 4Matic,Mazda3,32590,14250.0,26493.0,30536.0,,,0
,7302921707,277514307,,Gmc,Chevrolet,Sierra 1500,Trailblazer,31995,21270.0,118722.0,,,,0
,7303216717,281197034,,Ford,Audi,F-550,A4,46998,31229.0,152484.0,19157.0,,,0
,7315682448,249222759,,Ford,Nissan,F250 Xlt,Rogue,9700,31260.0,109981.0,0.0,,,0
,7312512523,280076136,,Chevrolet,Dodge,Silverado,Durango,0,28998.0,101918.0,15215.0,,,0
,7316246874,280763275,,Chevrolet,Jeep,Silverado Lt Z71,Compass,12500,2200.0,126000.0,161939.0,,,0
,7316354344,279740197,,Bmw,Ram,335I,1500,14998,22987.0,93239.0,96890.0,,,0
,7301995911,274821694,,Ford,Toyota,Expedition El,Corolla,30995,15998.0,112658.0,29428.0,,,0
,7316220852,273700833,,Lexus,Toyota,Rx 300,Camry,5995,26279.0,253935.0,0.0,,,0
,7314097279,257037889,,Bmw,Honda,135I,Cr-V,14995,1350.0,99600.0,,,,0
